"","Entrez","Pathway","SYMBOL"
"mmu04640 Hematopoietic cell lineage1","100042555","Hematopoietic cell lineage","Gm13305"
"mmu04640 Hematopoietic cell lineage2","100504404","Hematopoietic cell lineage","H2-Ea"
"mmu04640 Hematopoietic cell lineage3","109700","Hematopoietic cell lineage","Itga1"
"mmu04640 Hematopoietic cell lineage4","12475","Hematopoietic cell lineage","Cd14"
"mmu04640 Hematopoietic cell lineage5","12478","Hematopoietic cell lineage","Cd19"
"mmu04640 Hematopoietic cell lineage6","12479","Hematopoietic cell lineage","Cd1d1"
"mmu04640 Hematopoietic cell lineage7","12480","Hematopoietic cell lineage","Cd1d2"
"mmu04640 Hematopoietic cell lineage8","12481","Hematopoietic cell lineage","Cd2"
"mmu04640 Hematopoietic cell lineage9","12482","Hematopoietic cell lineage","Ms4a1"
"mmu04640 Hematopoietic cell lineage10","12483","Hematopoietic cell lineage","Cd22"
"mmu04640 Hematopoietic cell lineage11","12484","Hematopoietic cell lineage","Cd24a"
"mmu04640 Hematopoietic cell lineage12","12489","Hematopoietic cell lineage","Cd33"
"mmu04640 Hematopoietic cell lineage13","12490","Hematopoietic cell lineage","Cd34"
"mmu04640 Hematopoietic cell lineage14","12491","Hematopoietic cell lineage","Cd36"
"mmu04640 Hematopoietic cell lineage15","12493","Hematopoietic cell lineage","Cd37"
"mmu04640 Hematopoietic cell lineage16","12494","Hematopoietic cell lineage","Cd38"
"mmu04640 Hematopoietic cell lineage17","12500","Hematopoietic cell lineage","Cd3d"
"mmu04640 Hematopoietic cell lineage18","12501","Hematopoietic cell lineage","Cd3e"
"mmu04640 Hematopoietic cell lineage19","12502","Hematopoietic cell lineage","Cd3g"
"mmu04640 Hematopoietic cell lineage20","12504","Hematopoietic cell lineage","Cd4"
"mmu04640 Hematopoietic cell lineage21","12505","Hematopoietic cell lineage","Cd44"
"mmu04640 Hematopoietic cell lineage22","12507","Hematopoietic cell lineage","Cd5"
"mmu04640 Hematopoietic cell lineage23","12509","Hematopoietic cell lineage","Cd59a"
"mmu04640 Hematopoietic cell lineage24","12516","Hematopoietic cell lineage","Cd7"
"mmu04640 Hematopoietic cell lineage25","12525","Hematopoietic cell lineage","Cd8a"
"mmu04640 Hematopoietic cell lineage26","12526","Hematopoietic cell lineage","Cd8b1"
"mmu04640 Hematopoietic cell lineage27","12527","Hematopoietic cell lineage","Cd9"
"mmu04640 Hematopoietic cell lineage28","12902","Hematopoietic cell lineage","Cr2"
"mmu04640 Hematopoietic cell lineage29","12946","Hematopoietic cell lineage","Cr1l"
"mmu04640 Hematopoietic cell lineage30","12977","Hematopoietic cell lineage","Csf1"
"mmu04640 Hematopoietic cell lineage31","12978","Hematopoietic cell lineage","Csf1r"
"mmu04640 Hematopoietic cell lineage32","12981","Hematopoietic cell lineage","Csf2"
"mmu04640 Hematopoietic cell lineage33","12982","Hematopoietic cell lineage","Csf2ra"
"mmu04640 Hematopoietic cell lineage34","12985","Hematopoietic cell lineage","Csf3"
"mmu04640 Hematopoietic cell lineage35","12986","Hematopoietic cell lineage","Csf3r"
"mmu04640 Hematopoietic cell lineage36","13136","Hematopoietic cell lineage","Cd55"
"mmu04640 Hematopoietic cell lineage37","13137","Hematopoietic cell lineage","Cd55b"
"mmu04640 Hematopoietic cell lineage38","13856","Hematopoietic cell lineage","Epo"
"mmu04640 Hematopoietic cell lineage39","13857","Hematopoietic cell lineage","Epor"
"mmu04640 Hematopoietic cell lineage40","14128","Hematopoietic cell lineage","Fcer2a"
"mmu04640 Hematopoietic cell lineage41","14129","Hematopoietic cell lineage","Fcgr1"
"mmu04640 Hematopoietic cell lineage42","14255","Hematopoietic cell lineage","Flt3"
"mmu04640 Hematopoietic cell lineage43","14256","Hematopoietic cell lineage","Flt3l"
"mmu04640 Hematopoietic cell lineage44","14723","Hematopoietic cell lineage","Gp1ba"
"mmu04640 Hematopoietic cell lineage45","14724","Hematopoietic cell lineage","Gp1bb"
"mmu04640 Hematopoietic cell lineage46","14729","Hematopoietic cell lineage","Gp5"
"mmu04640 Hematopoietic cell lineage47","14934","Hematopoietic cell lineage","Gypa"
"mmu04640 Hematopoietic cell lineage48","14960","Hematopoietic cell lineage","H2-Aa"
"mmu04640 Hematopoietic cell lineage49","14961","Hematopoietic cell lineage","H2-Ab1"
"mmu04640 Hematopoietic cell lineage50","14969","Hematopoietic cell lineage","H2-Eb1"
"mmu04640 Hematopoietic cell lineage51","14998","Hematopoietic cell lineage","H2-DMa"
"mmu04640 Hematopoietic cell lineage52","14999","Hematopoietic cell lineage","H2-DMb1"
"mmu04640 Hematopoietic cell lineage53","15000","Hematopoietic cell lineage","H2-DMb2"
"mmu04640 Hematopoietic cell lineage54","15001","Hematopoietic cell lineage","H2-Oa"
"mmu04640 Hematopoietic cell lineage55","15002","Hematopoietic cell lineage","H2-Ob"
"mmu04640 Hematopoietic cell lineage56","16156","Hematopoietic cell lineage","Il11"
"mmu04640 Hematopoietic cell lineage57","16157","Hematopoietic cell lineage","Il11ra1"
"mmu04640 Hematopoietic cell lineage58","16158","Hematopoietic cell lineage","Il11ra2"
"mmu04640 Hematopoietic cell lineage59","16175","Hematopoietic cell lineage","Il1a"
"mmu04640 Hematopoietic cell lineage60","16176","Hematopoietic cell lineage","Il1b"
"mmu04640 Hematopoietic cell lineage61","16177","Hematopoietic cell lineage","Il1r1"
"mmu04640 Hematopoietic cell lineage62","16178","Hematopoietic cell lineage","Il1r2"
"mmu04640 Hematopoietic cell lineage63","16184","Hematopoietic cell lineage","Il2ra"
"mmu04640 Hematopoietic cell lineage64","16187","Hematopoietic cell lineage","Il3"
"mmu04640 Hematopoietic cell lineage65","16188","Hematopoietic cell lineage","Il3ra"
"mmu04640 Hematopoietic cell lineage66","16189","Hematopoietic cell lineage","Il4"
"mmu04640 Hematopoietic cell lineage67","16190","Hematopoietic cell lineage","Il4ra"
"mmu04640 Hematopoietic cell lineage68","16191","Hematopoietic cell lineage","Il5"
"mmu04640 Hematopoietic cell lineage69","16192","Hematopoietic cell lineage","Il5ra"
"mmu04640 Hematopoietic cell lineage70","16193","Hematopoietic cell lineage","Il6"
"mmu04640 Hematopoietic cell lineage71","16194","Hematopoietic cell lineage","Il6ra"
"mmu04640 Hematopoietic cell lineage72","16196","Hematopoietic cell lineage","Il7"
"mmu04640 Hematopoietic cell lineage73","16197","Hematopoietic cell lineage","Il7r"
"mmu04640 Hematopoietic cell lineage74","16199","Hematopoietic cell lineage","Il9r"
"mmu04640 Hematopoietic cell lineage75","16398","Hematopoietic cell lineage","Itga2"
"mmu04640 Hematopoietic cell lineage76","16399","Hematopoietic cell lineage","Itga2b"
"mmu04640 Hematopoietic cell lineage77","16400","Hematopoietic cell lineage","Itga3"
"mmu04640 Hematopoietic cell lineage78","16401","Hematopoietic cell lineage","Itga4"
"mmu04640 Hematopoietic cell lineage79","16402","Hematopoietic cell lineage","Itga5"
"mmu04640 Hematopoietic cell lineage80","16403","Hematopoietic cell lineage","Itga6"
"mmu04640 Hematopoietic cell lineage81","16409","Hematopoietic cell lineage","Itgam"
"mmu04640 Hematopoietic cell lineage82","16416","Hematopoietic cell lineage","Itgb3"
"mmu04640 Hematopoietic cell lineage83","16590","Hematopoietic cell lineage","Kit"
"mmu04640 Hematopoietic cell lineage84","16790","Hematopoietic cell lineage","Anpep"
"mmu04640 Hematopoietic cell lineage85","17311","Hematopoietic cell lineage","Kitl"
"mmu04640 Hematopoietic cell lineage86","17380","Hematopoietic cell lineage","Mme"
"mmu04640 Hematopoietic cell lineage87","21673","Hematopoietic cell lineage","Dntt"
"mmu04640 Hematopoietic cell lineage88","21832","Hematopoietic cell lineage","Thpo"
"mmu04640 Hematopoietic cell lineage89","21926","Hematopoietic cell lineage","Tnf"
"mmu04640 Hematopoietic cell lineage90","22042","Hematopoietic cell lineage","Tfrc"
"mmu04640 Hematopoietic cell lineage91","233274","Hematopoietic cell lineage","Siglech"
"mmu04640 Hematopoietic cell lineage92","333883","Hematopoietic cell lineage","Cd59b"
"mmu04640 Hematopoietic cell lineage93","381091","Hematopoietic cell lineage","H2-Eb2"
"mmu04640 Hematopoietic cell lineage94","54368","Hematopoietic cell lineage","Gp9"
"mmu04610 Complement and coagulation cascades1","109821","Complement and coagulation cascades","F11"
"mmu04610 Complement and coagulation cascades2","109828","Complement and coagulation cascades","C7"
"mmu04610 Complement and coagulation cascades3","110135","Complement and coagulation cascades","Fgb"
"mmu04610 Complement and coagulation cascades4","110382","Complement and coagulation cascades","C8b"
"mmu04610 Complement and coagulation cascades5","11537","Complement and coagulation cascades","Cfd"
"mmu04610 Complement and coagulation cascades6","11905","Complement and coagulation cascades","Serpinc1"
"mmu04610 Complement and coagulation cascades7","12061","Complement and coagulation cascades","Bdkrb1"
"mmu04610 Complement and coagulation cascades8","12062","Complement and coagulation cascades","Bdkrb2"
"mmu04610 Complement and coagulation cascades9","12258","Complement and coagulation cascades","Serping1"
"mmu04610 Complement and coagulation cascades10","12259","Complement and coagulation cascades","C1qa"
"mmu04610 Complement and coagulation cascades11","12260","Complement and coagulation cascades","C1qb"
"mmu04610 Complement and coagulation cascades12","12262","Complement and coagulation cascades","C1qc"
"mmu04610 Complement and coagulation cascades13","12263","Complement and coagulation cascades","C2"
"mmu04610 Complement and coagulation cascades14","12266","Complement and coagulation cascades","C3"
"mmu04610 Complement and coagulation cascades15","12267","Complement and coagulation cascades","C3ar1"
"mmu04610 Complement and coagulation cascades16","12268","Complement and coagulation cascades","C4b"
"mmu04610 Complement and coagulation cascades17","12269","Complement and coagulation cascades","C4bp"
"mmu04610 Complement and coagulation cascades18","12273","Complement and coagulation cascades","C5ar1"
"mmu04610 Complement and coagulation cascades19","12274","Complement and coagulation cascades","C6"
"mmu04610 Complement and coagulation cascades20","12279","Complement and coagulation cascades","C9"
"mmu04610 Complement and coagulation cascades21","12509","Complement and coagulation cascades","Cd59a"
"mmu04610 Complement and coagulation cascades22","12628","Complement and coagulation cascades","Cfh"
"mmu04610 Complement and coagulation cascades23","12630","Complement and coagulation cascades","Cfi"
"mmu04610 Complement and coagulation cascades24","12759","Complement and coagulation cascades","Clu"
"mmu04610 Complement and coagulation cascades25","12902","Complement and coagulation cascades","Cr2"
"mmu04610 Complement and coagulation cascades26","12946","Complement and coagulation cascades","Cr1l"
"mmu04610 Complement and coagulation cascades27","13136","Complement and coagulation cascades","Cd55"
"mmu04610 Complement and coagulation cascades28","13137","Complement and coagulation cascades","Cd55b"
"mmu04610 Complement and coagulation cascades29","14058","Complement and coagulation cascades","F10"
"mmu04610 Complement and coagulation cascades30","14060","Complement and coagulation cascades","F13b"
"mmu04610 Complement and coagulation cascades31","14061","Complement and coagulation cascades","F2"
"mmu04610 Complement and coagulation cascades32","14062","Complement and coagulation cascades","F2r"
"mmu04610 Complement and coagulation cascades33","14064","Complement and coagulation cascades","F2rl2"
"mmu04610 Complement and coagulation cascades34","14065","Complement and coagulation cascades","F2rl3"
"mmu04610 Complement and coagulation cascades35","14066","Complement and coagulation cascades","F3"
"mmu04610 Complement and coagulation cascades36","14067","Complement and coagulation cascades","F5"
"mmu04610 Complement and coagulation cascades37","14068","Complement and coagulation cascades","F7"
"mmu04610 Complement and coagulation cascades38","14069","Complement and coagulation cascades","F8"
"mmu04610 Complement and coagulation cascades39","14071","Complement and coagulation cascades","F9"
"mmu04610 Complement and coagulation cascades40","14161","Complement and coagulation cascades","Fga"
"mmu04610 Complement and coagulation cascades41","14962","Complement and coagulation cascades","Cfb"
"mmu04610 Complement and coagulation cascades42","15139","Complement and coagulation cascades","Hc"
"mmu04610 Complement and coagulation cascades43","15160","Complement and coagulation cascades","Serpind1"
"mmu04610 Complement and coagulation cascades44","16409","Complement and coagulation cascades","Itgam"
"mmu04610 Complement and coagulation cascades45","16411","Complement and coagulation cascades","Itgax"
"mmu04610 Complement and coagulation cascades46","16414","Complement and coagulation cascades","Itgb2"
"mmu04610 Complement and coagulation cascades47","16415","Complement and coagulation cascades","Itgb2l"
"mmu04610 Complement and coagulation cascades48","16621","Complement and coagulation cascades","Klkb1"
"mmu04610 Complement and coagulation cascades49","16644","Complement and coagulation cascades","Kng1"
"mmu04610 Complement and coagulation cascades50","17174","Complement and coagulation cascades","Masp1"
"mmu04610 Complement and coagulation cascades51","17175","Complement and coagulation cascades","Masp2"
"mmu04610 Complement and coagulation cascades52","17194","Complement and coagulation cascades","Mbl1"
"mmu04610 Complement and coagulation cascades53","17195","Complement and coagulation cascades","Mbl2"
"mmu04610 Complement and coagulation cascades54","17221","Complement and coagulation cascades","Cd46"
"mmu04610 Complement and coagulation cascades55","18787","Complement and coagulation cascades","Serpine1"
"mmu04610 Complement and coagulation cascades56","18788","Complement and coagulation cascades","Serpinb2"
"mmu04610 Complement and coagulation cascades57","18791","Complement and coagulation cascades","Plat"
"mmu04610 Complement and coagulation cascades58","18792","Complement and coagulation cascades","Plau"
"mmu04610 Complement and coagulation cascades59","18793","Complement and coagulation cascades","Plaur"
"mmu04610 Complement and coagulation cascades60","18815","Complement and coagulation cascades","Plg"
"mmu04610 Complement and coagulation cascades61","18816","Complement and coagulation cascades","Serpinf2"
"mmu04610 Complement and coagulation cascades62","19123","Complement and coagulation cascades","Proc"
"mmu04610 Complement and coagulation cascades63","19124","Complement and coagulation cascades","Procr"
"mmu04610 Complement and coagulation cascades64","19128","Complement and coagulation cascades","Pros1"
"mmu04610 Complement and coagulation cascades65","20700","Complement and coagulation cascades","Serpina1a"
"mmu04610 Complement and coagulation cascades66","20701","Complement and coagulation cascades","Serpina1b"
"mmu04610 Complement and coagulation cascades67","20702","Complement and coagulation cascades","Serpina1c"
"mmu04610 Complement and coagulation cascades68","20703","Complement and coagulation cascades","Serpina1d"
"mmu04610 Complement and coagulation cascades69","20704","Complement and coagulation cascades","Serpina1e"
"mmu04610 Complement and coagulation cascades70","21788","Complement and coagulation cascades","Tfpi"
"mmu04610 Complement and coagulation cascades71","21824","Complement and coagulation cascades","Thbd"
"mmu04610 Complement and coagulation cascades72","22370","Complement and coagulation cascades","Vtn"
"mmu04610 Complement and coagulation cascades73","22371","Complement and coagulation cascades","Vwf"
"mmu04610 Complement and coagulation cascades74","22789","Complement and coagulation cascades","Zp3r"
"mmu04610 Complement and coagulation cascades75","230558","Complement and coagulation cascades","C8a"
"mmu04610 Complement and coagulation cascades76","232345","Complement and coagulation cascades","A2m"
"mmu04610 Complement and coagulation cascades77","268591","Complement and coagulation cascades","Serpina5"
"mmu04610 Complement and coagulation cascades78","278180","Complement and coagulation cascades","Vsig4"
"mmu04610 Complement and coagulation cascades79","317677","Complement and coagulation cascades","C1s2"
"mmu04610 Complement and coagulation cascades80","333883","Complement and coagulation cascades","Cd59b"
"mmu04610 Complement and coagulation cascades81","385643","Complement and coagulation cascades","Kng2"
"mmu04610 Complement and coagulation cascades82","50702","Complement and coagulation cascades","Cfhr1"
"mmu04610 Complement and coagulation cascades83","50908","Complement and coagulation cascades","C1s1"
"mmu04610 Complement and coagulation cascades84","50909","Complement and coagulation cascades","C1ra"
"mmu04610 Complement and coagulation cascades85","545366","Complement and coagulation cascades","Cfhr2"
"mmu04610 Complement and coagulation cascades86","56373","Complement and coagulation cascades","Cpb2"
"mmu04610 Complement and coagulation cascades87","58992","Complement and coagulation cascades","F12"
"mmu04610 Complement and coagulation cascades88","624286","Complement and coagulation cascades","Cfhr3"
"mmu04610 Complement and coagulation cascades89","625018","Complement and coagulation cascades","C4a"
"mmu04610 Complement and coagulation cascades90","667277","Complement and coagulation cascades","C1rb"
"mmu04610 Complement and coagulation cascades91","69379","Complement and coagulation cascades","C8g"
"mmu04610 Complement and coagulation cascades92","74145","Complement and coagulation cascades","F13a1"
"mmu04610 Complement and coagulation cascades93","99571","Complement and coagulation cascades","Fgg"
"mmu04611 Platelet activation1","104110","Platelet activation","Adcy4"
"mmu04611 Platelet activation2","104111","Platelet activation","Adcy3"
"mmu04611 Platelet activation3","104709","Platelet activation","Pik3r6"
"mmu04611 Platelet activation4","107589","Platelet activation","Mylk"
"mmu04611 Platelet activation5","108101","Platelet activation","Fermt3"
"mmu04611 Platelet activation6","109305","Platelet activation","Orai1"
"mmu04611 Platelet activation7","109905","Platelet activation","Rap1a"
"mmu04611 Platelet activation8","110135","Platelet activation","Fgb"
"mmu04611 Platelet activation9","11461","Platelet activation","Actb"
"mmu04611 Platelet activation10","11465","Platelet activation","Actg1"
"mmu04611 Platelet activation11","11512","Platelet activation","Adcy6"
"mmu04611 Platelet activation12","11513","Platelet activation","Adcy7"
"mmu04611 Platelet activation13","11514","Platelet activation","Adcy8"
"mmu04611 Platelet activation14","11515","Platelet activation","Adcy9"
"mmu04611 Platelet activation15","11651","Platelet activation","Akt1"
"mmu04611 Platelet activation16","11652","Platelet activation","Akt2"
"mmu04611 Platelet activation17","11848","Platelet activation","Rhoa"
"mmu04611 Platelet activation18","12229","Platelet activation","Btk"
"mmu04611 Platelet activation19","12825","Platelet activation","Col3a1"
"mmu04611 Platelet activation20","12842","Platelet activation","Col1a1"
"mmu04611 Platelet activation21","12843","Platelet activation","Col1a2"
"mmu04611 Platelet activation22","14061","Platelet activation","F2"
"mmu04611 Platelet activation23","14062","Platelet activation","F2r"
"mmu04611 Platelet activation24","14065","Platelet activation","F2rl3"
"mmu04611 Platelet activation25","14127","Platelet activation","Fcer1g"
"mmu04611 Platelet activation26","14161","Platelet activation","Fga"
"mmu04611 Platelet activation27","14360","Platelet activation","Fyn"
"mmu04611 Platelet activation28","14674","Platelet activation","Gna13"
"mmu04611 Platelet activation29","14677","Platelet activation","Gnai1"
"mmu04611 Platelet activation30","14678","Platelet activation","Gnai2"
"mmu04611 Platelet activation31","14679","Platelet activation","Gnai3"
"mmu04611 Platelet activation32","14682","Platelet activation","Gnaq"
"mmu04611 Platelet activation33","14683","Platelet activation","Gnas"
"mmu04611 Platelet activation34","14723","Platelet activation","Gp1ba"
"mmu04611 Platelet activation35","14724","Platelet activation","Gp1bb"
"mmu04611 Platelet activation36","14729","Platelet activation","Gp5"
"mmu04611 Platelet activation37","16398","Platelet activation","Itga2"
"mmu04611 Platelet activation38","16399","Platelet activation","Itga2b"
"mmu04611 Platelet activation39","16412","Platelet activation","Itgb1"
"mmu04611 Platelet activation40","16416","Platelet activation","Itgb3"
"mmu04611 Platelet activation41","16438","Platelet activation","Itpr1"
"mmu04611 Platelet activation42","16439","Platelet activation","Itpr2"
"mmu04611 Platelet activation43","16440","Platelet activation","Itpr3"
"mmu04611 Platelet activation44","16801","Platelet activation","Arhgef1"
"mmu04611 Platelet activation45","16822","Platelet activation","Lcp2"
"mmu04611 Platelet activation46","17096","Platelet activation","Lyn"
"mmu04611 Platelet activation47","17931","Platelet activation","Ppp1r12a"
"mmu04611 Platelet activation48","18127","Platelet activation","Nos3"
"mmu04611 Platelet activation49","18436","Platelet activation","P2rx1"
"mmu04611 Platelet activation50","18441","Platelet activation","P2ry1"
"mmu04611 Platelet activation51","18706","Platelet activation","Pik3ca"
"mmu04611 Platelet activation52","18707","Platelet activation","Pik3cd"
"mmu04611 Platelet activation53","18708","Platelet activation","Pik3r1"
"mmu04611 Platelet activation54","18709","Platelet activation","Pik3r2"
"mmu04611 Platelet activation55","18710","Platelet activation","Pik3r3"
"mmu04611 Platelet activation56","18747","Platelet activation","Prkaca"
"mmu04611 Platelet activation57","18749","Platelet activation","Prkacb"
"mmu04611 Platelet activation58","18759","Platelet activation","Prkci"
"mmu04611 Platelet activation59","18762","Platelet activation","Prkcz"
"mmu04611 Platelet activation60","18783","Platelet activation","Pla2g4a"
"mmu04611 Platelet activation61","18795","Platelet activation","Plcb1"
"mmu04611 Platelet activation62","18796","Platelet activation","Plcb2"
"mmu04611 Platelet activation63","18797","Platelet activation","Plcb3"
"mmu04611 Platelet activation64","18798","Platelet activation","Plcb4"
"mmu04611 Platelet activation65","19045","Platelet activation","Ppp1ca"
"mmu04611 Platelet activation66","19046","Platelet activation","Ppp1cb"
"mmu04611 Platelet activation67","19047","Platelet activation","Ppp1cc"
"mmu04611 Platelet activation68","19091","Platelet activation","Prkg1"
"mmu04611 Platelet activation69","19092","Platelet activation","Prkg2"
"mmu04611 Platelet activation70","19094","Platelet activation","Mapk11"
"mmu04611 Platelet activation71","19222","Platelet activation","Ptgir"
"mmu04611 Platelet activation72","19224","Platelet activation","Ptgs1"
"mmu04611 Platelet activation73","19395","Platelet activation","Rasgrp2"
"mmu04611 Platelet activation74","19419","Platelet activation","Rasgrp1"
"mmu04611 Platelet activation75","19877","Platelet activation","Rock1"
"mmu04611 Platelet activation76","19878","Platelet activation","Rock2"
"mmu04611 Platelet activation77","20619","Platelet activation","Snap23"
"mmu04611 Platelet activation78","20779","Platelet activation","Src"
"mmu04611 Platelet activation79","20866","Platelet activation","Stim1"
"mmu04611 Platelet activation80","20963","Platelet activation","Syk"
"mmu04611 Platelet activation81","210044","Platelet activation","Adcy2"
"mmu04611 Platelet activation82","211429","Platelet activation","Pla2g4b"
"mmu04611 Platelet activation83","213435","Platelet activation","Mylk3"
"mmu04611 Platelet activation84","21390","Platelet activation","Tbxa2r"
"mmu04611 Platelet activation85","21391","Platelet activation","Tbxas1"
"mmu04611 Platelet activation86","215449","Platelet activation","Rap1b"
"mmu04611 Platelet activation87","21894","Platelet activation","Tln1"
"mmu04611 Platelet activation88","22320","Platelet activation","Vamp8"
"mmu04611 Platelet activation89","22323","Platelet activation","Vasp"
"mmu04611 Platelet activation90","22371","Platelet activation","Vwf"
"mmu04611 Platelet activation91","224129","Platelet activation","Adcy5"
"mmu04611 Platelet activation92","228785","Platelet activation","Mylk2"
"mmu04611 Platelet activation93","232889","Platelet activation","Pla2g4c"
"mmu04611 Platelet activation94","232906","Platelet activation","Arhgap35"
"mmu04611 Platelet activation95","234779","Platelet activation","Plcg2"
"mmu04611 Platelet activation96","234889","Platelet activation","Gucy1a2"
"mmu04611 Platelet activation97","23797","Platelet activation","Akt3"
"mmu04611 Platelet activation98","238564","Platelet activation","Mylk4"
"mmu04611 Platelet activation99","239134","Platelet activation","Gucy1b2"
"mmu04611 Platelet activation100","243816","Platelet activation","Gp6"
"mmu04611 Platelet activation101","26413","Platelet activation","Mapk1"
"mmu04611 Platelet activation102","26415","Platelet activation","Mapk13"
"mmu04611 Platelet activation103","26416","Platelet activation","Mapk14"
"mmu04611 Platelet activation104","26417","Platelet activation","Mapk3"
"mmu04611 Platelet activation105","271844","Platelet activation","Pla2g4f"
"mmu04611 Platelet activation106","29857","Platelet activation","Mapk12"
"mmu04611 Platelet activation107","30955","Platelet activation","Pik3cg"
"mmu04611 Platelet activation108","320207","Platelet activation","Pik3r5"
"mmu04611 Platelet activation109","329502","Platelet activation","Pla2g4e"
"mmu04611 Platelet activation110","432530","Platelet activation","Adcy1"
"mmu04611 Platelet activation111","434233","Platelet activation","Ppp1ccb"
"mmu04611 Platelet activation112","54195","Platelet activation","Gucy1b1"
"mmu04611 Platelet activation113","54368","Platelet activation","Gp9"
"mmu04611 Platelet activation114","54519","Platelet activation","Apbb1ip"
"mmu04611 Platelet activation115","60596","Platelet activation","Gucy1a1"
"mmu04611 Platelet activation116","67268","Platelet activation","Myl12a"
"mmu04611 Platelet activation117","67653","Platelet activation","4930544G11Rik"
"mmu04611 Platelet activation118","67938","Platelet activation","Myl12b"
"mmu04611 Platelet activation119","69632","Platelet activation","Arhgef12"
"mmu04611 Platelet activation120","70549","Platelet activation","Tln2"
"mmu04611 Platelet activation121","70839","Platelet activation","P2ry12"
"mmu04611 Platelet activation122","74769","Platelet activation","Pik3cb"
"mmu04611 Platelet activation123","78390","Platelet activation","Pla2g4d"
"mmu04611 Platelet activation124","99571","Platelet activation","Fgg"
"mmu04620 Toll-like receptor signaling pathway1","106759","Toll-like receptor signaling pathway","Ticam1"
"mmu04620 Toll-like receptor signaling pathway2","11651","Toll-like receptor signaling pathway","Akt1"
"mmu04620 Toll-like receptor signaling pathway3","11652","Toll-like receptor signaling pathway","Akt2"
"mmu04620 Toll-like receptor signaling pathway4","117149","Toll-like receptor signaling pathway","Tirap"
"mmu04620 Toll-like receptor signaling pathway5","12370","Toll-like receptor signaling pathway","Casp8"
"mmu04620 Toll-like receptor signaling pathway6","12475","Toll-like receptor signaling pathway","Cd14"
"mmu04620 Toll-like receptor signaling pathway7","12519","Toll-like receptor signaling pathway","Cd80"
"mmu04620 Toll-like receptor signaling pathway8","12524","Toll-like receptor signaling pathway","Cd86"
"mmu04620 Toll-like receptor signaling pathway9","12675","Toll-like receptor signaling pathway","Chuk"
"mmu04620 Toll-like receptor signaling pathway10","13038","Toll-like receptor signaling pathway","Ctsk"
"mmu04620 Toll-like receptor signaling pathway11","14082","Toll-like receptor signaling pathway","Fadd"
"mmu04620 Toll-like receptor signaling pathway12","14281","Toll-like receptor signaling pathway","Fos"
"mmu04620 Toll-like receptor signaling pathway13","142980","Toll-like receptor signaling pathway","Tlr3"
"mmu04620 Toll-like receptor signaling pathway14","15945","Toll-like receptor signaling pathway","Cxcl10"
"mmu04620 Toll-like receptor signaling pathway15","15962","Toll-like receptor signaling pathway","Ifna1"
"mmu04620 Toll-like receptor signaling pathway16","15964","Toll-like receptor signaling pathway","Ifna11"
"mmu04620 Toll-like receptor signaling pathway17","15965","Toll-like receptor signaling pathway","Ifna2"
"mmu04620 Toll-like receptor signaling pathway18","15967","Toll-like receptor signaling pathway","Ifna4"
"mmu04620 Toll-like receptor signaling pathway19","15968","Toll-like receptor signaling pathway","Ifna5"
"mmu04620 Toll-like receptor signaling pathway20","15969","Toll-like receptor signaling pathway","Ifna6"
"mmu04620 Toll-like receptor signaling pathway21","15970","Toll-like receptor signaling pathway","Ifna7"
"mmu04620 Toll-like receptor signaling pathway22","15972","Toll-like receptor signaling pathway","Ifna9"
"mmu04620 Toll-like receptor signaling pathway23","15974","Toll-like receptor signaling pathway","Ifnab"
"mmu04620 Toll-like receptor signaling pathway24","15975","Toll-like receptor signaling pathway","Ifnar1"
"mmu04620 Toll-like receptor signaling pathway25","15976","Toll-like receptor signaling pathway","Ifnar2"
"mmu04620 Toll-like receptor signaling pathway26","15977","Toll-like receptor signaling pathway","Ifnb1"
"mmu04620 Toll-like receptor signaling pathway27","16150","Toll-like receptor signaling pathway","Ikbkb"
"mmu04620 Toll-like receptor signaling pathway28","16151","Toll-like receptor signaling pathway","Ikbkg"
"mmu04620 Toll-like receptor signaling pathway29","16159","Toll-like receptor signaling pathway","Il12a"
"mmu04620 Toll-like receptor signaling pathway30","16160","Toll-like receptor signaling pathway","Il12b"
"mmu04620 Toll-like receptor signaling pathway31","16176","Toll-like receptor signaling pathway","Il1b"
"mmu04620 Toll-like receptor signaling pathway32","16179","Toll-like receptor signaling pathway","Irak1"
"mmu04620 Toll-like receptor signaling pathway33","16193","Toll-like receptor signaling pathway","Il6"
"mmu04620 Toll-like receptor signaling pathway34","16476","Toll-like receptor signaling pathway","Jun"
"mmu04620 Toll-like receptor signaling pathway35","16803","Toll-like receptor signaling pathway","Lbp"
"mmu04620 Toll-like receptor signaling pathway36","170743","Toll-like receptor signaling pathway","Tlr7"
"mmu04620 Toll-like receptor signaling pathway37","170744","Toll-like receptor signaling pathway","Tlr8"
"mmu04620 Toll-like receptor signaling pathway38","17087","Toll-like receptor signaling pathway","Ly96"
"mmu04620 Toll-like receptor signaling pathway39","17329","Toll-like receptor signaling pathway","Cxcl9"
"mmu04620 Toll-like receptor signaling pathway40","17874","Toll-like receptor signaling pathway","Myd88"
"mmu04620 Toll-like receptor signaling pathway41","18033","Toll-like receptor signaling pathway","Nfkb1"
"mmu04620 Toll-like receptor signaling pathway42","18035","Toll-like receptor signaling pathway","Nfkbia"
"mmu04620 Toll-like receptor signaling pathway43","18706","Toll-like receptor signaling pathway","Pik3ca"
